Payment_ID,Loan_ID,Payment_Date,Payment_Amount,Remaining_Balance,Is_Late,Days_Late
8001,5447,2021-05-01,645.76,26237.95,0,0
8002,5785,2021-12-11,743.88,4793.63,1,12
8003,5497,2020-10-08,1407.63,35170.91,0,0
8004,5561,2020-07-25,1383.98,31168.13,0,0
8005,5484,2023-10-12,1130.38,7629.93,0,0
8006,5849,2021-04-07,1350.09,27760.8,0,0
8007,5722,2022-07-09,615.54,24105.32,0,0
8008,5116,2023-06-17,695.44,7381.4,0,0
8009,5535,2021-04-19,997.83,10928.14,0,0
8010,5098,2022-10-15,1010.71,16359.46,0,0
8011,5328,2023-05-11,826.21,27969.71,0,0
8012,5909,2020-02-04,720.86,25548.94,1,5
8013,5407,2023-01-16,1482.03,21289.39,0,0
8014,5313,2021-06-07,1267.46,30736.42,0,0
8015,5702,2022-09-21,765.47,30317.51,0,0
8016,5694,2022-05-05,1145.48,24714.37,0,0
8017,5148,2024-05-13,550.43,31479.6,1,33
8018,5342,2024-10-17,330.22,13370.53,1,47
8019,5495,2021-06-15,658.16,35249.98,0,0
8020,5948,2022-08-22,723.86,24596.4,0,0
8021,5023,2024-08-04,221.5,32894.54,0,0
8022,5105,2020-08-28,1259.23,21851.16,1,31
8023,5675,2023-08-19,666.95,8737.53,0,0
8024,5579,2022-12-11,954.54,21696.41,0,0
8025,5802,2022-05-01,296.15,14844.47,0,0
8026,5801,2021-11-21,427.5,27899.96,1,3
8027,5558,2021-05-30,1356.6,19031.75,0,0
8028,5593,2022-09-23,991.29,33444.51,0,0
8029,5941,2024-06-22,1435.37,27122.9,0,0
8030,5659,2021-09-05,1498.38,27381.78,1,14
8031,5222,2023-01-10,683.42,8686.21,0,0
8032,5855,2020-08-20,588.44,39369.99,1,30
8033,5015,2023-10-17,1315.86,33667.01,0,0
8034,5891,2021-10-07,1498.19,31560.2,0,0
8035,5633,2021-03-08,1018.53,13208.61,1,4
8036,5078,2021-07-16,1233.68,21425.27,1,43
8037,5322,2024-10-02,1216.27,5484.13,0,0
8038,5807,2023-12-28,661.94,21539.04,0,0
8039,5241,2023-02-17,946.55,5835.57,0,0
8040,5018,2021-06-12,1282.97,22121.51,0,0
8041,5768,2020-12-31,1094.55,25948.88,0,0
8042,5454,2023-09-21,227.51,15607.84,0,0
8043,5443,2020-04-13,637.72,19941.8,0,0
8044,5928,2021-06-10,387.82,35026.14,0,0
8045,5277,2022-12-29,502.86,4342.53,0,0
8046,5424,2023-04-05,1377.14,31669.32,0,0
8047,5476,2022-05-05,247.96,6830.18,0,0
8048,5027,2021-12-28,485.74,1468.32,0,0
8049,5514,2021-08-16,602.44,7422.98,0,0
8050,5865,2023-02-15,1001.95,30601.73,0,0
8051,5464,2020-03-19,894.33,16205.04,0,0
8052,5807,2024-03-23,483.75,34900.82,0,0
8053,5982,2020-07-10,413.51,20988.3,0,0
