Loan_ID,Customer_ID,Loan_Amount,Loan_Term_Months,Interest_Rate,Loan_Purpose,Application_Date,Approval_Status,Default_Status,Monthly_Income,Credit_Score,Employment_Length,Marital_Status,Age,Region,Gender
5001,1059,48370,24,11.91,Education,2024-11-11,Approved,Paid,10828.833333333334,391,18,Married,24,North,Male
5002,1132,43396,36,10.15,Car,2023-01-05,Rejected,,2990.5,696,19,Divorced,39,East,Male
5003,1104,13328,24,12.97,Business,2022-07-10,Approved,Paid,2570.4166666666665,754,3,Single,9,Central,Female
5004,1195,20534,36,15.47,Education,2022-12-13,Approved,Paid,10096.5,677,9,Single,45,West,Male
5005,1413,24744,12,8.9,Business,2022-09-10,Approved,Paid,6738.333333333333,789,4,Married,5,Central,Female
5006,1489,24389,12,17.51,Business,2022-12-27,Approved,Paid,6546.166666666667,823,17,Single,36,West,Male
5007,1157,41320,36,11.96,Car,2021-12-21,Approved,Defaulted,6599.083333333333,804,17,Single,32,East,Male
5008,1098,40010,36,13.04,Personal,2024-11-26,Approved,Paid,9591.833333333334,784,2,Divorced,28,East,Female
5009,1226,19665,48,13.85,Home,2022-03-18,Rejected,,9467.25,448,9,Single,16,Central,Female
5010,1412,42865,12,13.67,Personal,2023-05-07,Approved,Paid,10414.75,477,9,Married,38,North,Female
5011,1205,13640,36,11.64,Education,2022-07-04,Approved,Paid,10583.75,587,5,Married,30,South,Female
5012,1079,39716,24,10.57,Personal,2022-08-30,Approved,Paid,8919.583333333334,398,15,Single,5,West,Male
5013,1124,30521,12,5.7,Education,2020-03-20,Approved,Paid,4400.833333333333,607,15,Married,30,Central,Male
5014,1471,35049,36,5.29,Education,2023-10-16,Approved,Defaulted,4528.0,537,3,Divorced,41,West,Male
5015,1428,10618,24,9.65,Home,2021-11-10,Approved,Paid,4740.083333333333,356,19,Divorced,41,South,Female
5016,1218,42004,24,9.34,Car,2024-05-26,Rejected,,7183.5,412,3,Single,33,West,Male
5017,1004,6920,24,10.04,Home,2024-03-25,Rejected,,3662.5833333333335,660,6,Single,29,West,Male
5018,1090,48937,24,6.8,Personal,2021-11-19,Rejected,,3902.1666666666665,658,4,Divorced,16,East,Female
5019,1104,9188,12,14.6,Education,2020-10-30,Rejected,,2570.4166666666665,754,13,Married,9,Central,Female
5020,1393,17207,12,16.14,Business,2024-01-10,Approved,Defaulted,6718.416666666667,502,13,Single,24,South,Female
5021,1119,5238,24,17.2,Business,2020-01-21,Rejected,,6237.25,472,11,Single,29,North,Female
5022,1133,37972,12,11.4,Education,2023-12-12,Approved,Paid,3155.5,404,5,Married,13,South,Male
5023,1312,15799,36,14.11,Home,2020-12-03,Approved,Paid,4786.75,520,1,Single,26,South,Male
5024,1096,10552,24,16.12,Car,2024-01-22,Approved,Paid,6323.0,530,9,Married,30,North,Female
5025,1468,33916,24,10.44,Home,2024-04-10,Approved,Paid,3787.25,463,17,Married,21,East,Male
5026,1434,9927,24,9.02,Education,2021-07-16,Approved,Defaulted,10447.333333333334,643,1,Married,26,East,Female
5027,1331,32964,36,17.18,Education,2023-06-09,Rejected,,10318.833333333334,318,3,Married,44,Central,Male
5028,1143,16164,48,11.7,Car,2020-08-04,Approved,Paid,2755.6666666666665,309,15,Married,43,West,Female
5029,1288,42158,48,11.46,Personal,2023-05-07,Approved,Paid,6675.25,717,10,Divorced,41,North,Male
5030,1028,24071,48,7.32,Personal,2024-04-27,Approved,Paid,9674.0,433,8,Married,39,West,Female
5031,1278,11160,36,6.41,Car,2020-01-22,Approved,Paid,3978.0,365,12,Divorced,38,Central,Female
5032,1233,20810,36,15.95,Personal,2022-05-10,Approved,Paid,12455.583333333334,555,15,Married,42,West,Female
5033,1017,10126,36,12.98,Business,2024-01-22,Approved,Paid,4285.083333333333,615,9,Single,11,South,Female
5034,1059,35009,24,9.24,Personal,2023-01-01,Approved,Defaulted,10828.833333333334,391,10,Divorced,24,North,Male
5035,1090,38584,24,7.49,Personal,2022-10-22,Approved,Paid,3902.1666666666665,658,9,Single,16,East,Female
